ccode,country
9999,ALL COUNTRIES
77,CHINA
419,UAE
423,UNITED STATES
351,SAUDI ARABIA
389,SWITZERLAND
147,GERMANY
179,HONG KONG
359,SINGAPORE
187,INDONESIA
217,SOUTH KOREA
205,JAPAN
191,IRAQ
17,AUSTRALIA
33,BELGIUM
421,UNITED KINGDOM
189,IRAN
291,NIGERIA
245,MALAYSIA
219,KUWAIT
599,UNSPECIFIED
365,SOUTH AFRICA
335,QATAR
275,NETHERLAND
129,FRANCE
197,ITALY
43,BRAZIL
397,THAILAND
433,VENEZUELA
437,VIETNAM SOC REP
344,RUSSIA
75,TAIWAN
27,BANGLADESH PR
195,ISRAEL
59,CANADA
409,TURKEY
11,ANGOLA
369,SRI LANKA DSR
259,MEXICO
367,SPAIN
301,OMAN
111,EGYPT A RP
273,NEPAL
213,KENYA
73,CHILE
395,TANZANIA REP
422,UKRAINE
387,SWEDEN
309,PAKISTAN IR
83,COLOMBIA
15,ARGENTINA
5,ALGERIA
258,MYANMAR
207,JORDAN
149,GHANA
323,PHILIPPINES
453,YEMEN REPUBLC
125,FINLAND
325,POLAND
265,MOROCCO
319,PERU
19,AUSTRIA
267,MOZAMBIQUE
101,DENMARK
297,NORWAY
25,BAHARAIN IS
257,MAURITIUS
381,SUDAN
23,BAHAMAS
98,CZECH REPUBLIC
193,IRELAND
285,NEW ZEALAND
327,PORTUGAL
1,AFGHANISTAN TIS
199,COTE D' IVOIRE
47,BRUNEI
343,ROMANIA
353,SENEGAL
35,BENIN
231,LIBYA
115,ETHIOPIA
181,HUNGARY
461,ZAMBIA
212,KAZAKHSTAN
155,GREECE
167,GUINEA
109,ECUADOR
41,BOTSWANA
87,CONGO P REP
38,BHUTAN
57,CAMEROON
399,TOGO
21,AZERBAIJAN
407,TUNISIA
417,UGANDA
151,GIBRALTAR
141,GABON
251,MALTA
117,EQUTL GUINEA
391,SYRIA
215,NORTH KOREA
103,DOMINIC REP
360,SLOVENIA
311,PANAMA REPUBLIC
102,DJIBOUTI
234,LITHUANIA
55,BELARUS
363,SOMALIA
241,MADAGASCAR
225,LEBANON
49,BULGARIA
50,BURKINA FASO
459,CONGO D. REP.
91,COSTA RICA
165,GUATEMALA
405,TRINIDAD
315,PAPUA N GNA
243,MALAWI
224,LATVIA
114,ESTONIA
169,GUINEA BISSAU
358,SLOVAK REP
229,LIBERIA
463,ZIMBABWE
39,BOLIVIA
249,MALI
427,URUGUAY
247,MALDIVES
92,CROATIA
430,UZBEKISTAN
317,PARAGUAY
177,HONDURAS
331,PUERTO RICO
56,CAMBODIA
69,CHAD
223,LAO PD RP
95,CYPRUS
145,GEORGIA
269,NAMIBIA
357,SIERRA LEONE
143,GAMBIA
385,SWAZILAND
289,NIGER
345,RWANDA
410,TURKMENISTAN
235,LUXEMBOURG
3,ALBANIA
339,REUNION
175,HAITI
116,ERITREA
255,MAURITANIA
277,NETHERLANDANTIL
329,TIMOR LESTE
383,SURINAME
287,NICARAGUA
113,EL SALVADOR
127,FIJI IS
393,TAJIKISTAN
355,SEYCHELLES
16,ARMENIA
227,LESOTHO
93,CUBA
203,JAMAICA
216,KYRGHYZSTAN
281,NEW CALEDONIA
352,SERBIA
185,ICELAND
171,GUYANA
85,COMOROS
240,MACEDONIA
53,BURUNDI
131,FR GUIANA
361,SOLOMON IS
354,UNION OF SERBIA & MONTENEGRO
261,MONGOLIA
356,MONTENEGRO
40,BOSNIA-HRZGOVIN
31,BELIZE
313,PANAMA C Z
252,MARSHALL ISLAND
382,SOUTH SUDAN
45,BR VIRGN IS
2,INSTALLATIONS IN INTERNATIONAL WATERS
67,C AFRI REP
271,NAURU RP
260,MOLDOVA
239,MACAO
253,MARTINIQUE
37,BERMUDA
29,BARBADOS
375,ST LUCIA
161,GUADELOUPE
81,COCOS IS
439,VIRGIN IS US
20,ARUBA
431,VANUATU REP
133,FR POLYNESIA
63,CAPE VERDE IS
307,PACIFIC IS
13,ANTIGUA
65,CAYMAN IS
447,SAMOA
105,DOMINICA
262,MONACO
121,FAROE IS.
347,SAHARWI A.DM RP
233,LIECHTENSTEIN
401,TOKELAU IS
373,ST KITT N A
379,ST VINCENT
123,FALKLAND IS
159,GRENADA
157,GREENLAND
9,ANDORRA
79,CHRISTMAS IS.
349,SAO TOME
403,TONGA
413,TUVALU
7,AMERI SAMOA
214,KIRIBATI REP
163,GUAM
14,ANTARTICA
295,NORFOLK IS
411,TURKS C IS
310,PALAU
424,US MINOR OUTLYING ISLANDS
346,SAN MARINO
263,MONTSERRAT
256,MICRONESIA
294,N. MARIANA IS.
443,WALLIS F IS
12,ANGUILLA
371,ST HELENA
89,COOK IS
321,PITCAIRN IS.
176,HEARD MACDONALD
198,VATICAN CITY
124,GUERNSEY
34,MAYOTTE
61,CANARY IS
377,ST PIERRE
293,NIUE IS
135,FR S ANT TR
279,NEUTRAL ZONE
71,CHANNEL IS
278,SINT MAARTEN (DUTCH PART)
276,CURACAO
122,JERSEY
